column_id,abbrev_name,full_name
175,st_meterr1,Stellar Metallicity Upper Unc. [dex]
176,st_meterr2,Stellar Metallicity Lower Unc. [dex]
177,st_metlim,Stellar Metallicity Limit Flag
178,st_met_reflink,Stellar Metallicity Reference
179,st_metratio,Stellar Metallicity Ratio
180,st_lum,Stellar Luminosity [log(Solar)]
181,st_lumerr1,Stellar Luminosity Upper Unc. [log(Solar)]
182,st_lumerr2,Stellar Luminosity Lower Unc. [log(Solar)]
183,st_lumlim,Stellar Luminosity Limit Flag
184,st_lum_reflink,Stellar Luminosity Reference
185,st_logg,Stellar Surface Gravity [log10(cm/s**2)]
186,st_loggerr1,Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
187,st_loggerr2,Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
188,st_logglim,Stellar Surface Gravity Limit Flag
189,st_logg_reflink,Stellar Surface Gravity Reference
190,st_age,Stellar Age [Gyr]
191,st_ageerr1,Stellar Age Upper Unc. [Gyr]
192,st_ageerr2,Stellar Age Lower Unc. [Gyr]
193,st_agelim,Stellar Age Limit Flag
194,st_age_reflink,Stellar Age Reference
195,st_dens,Stellar Density [g/cm**3]
196,st_denserr1,Stellar Density Upper Unc. [g/cm**3]
197,st_denserr2,Stellar Density Lower Unc. [g/cm**3]
198,st_denslim,Stellar Density Limit Flag
199,st_dens_reflink,Stellar Density Reference
200,st_vsin,Stellar Rotational Velocity [km/s]
201,st_vsinerr1,Stellar Rotational Velocity [km/s] Upper Unc.
202,st_vsinerr2,Stellar Rotational Velocity [km/s] Lower Unc.
203,st_vsinlim,Stellar Rotational Velocity Limit Flag
204,st_vsin_reflink,Stellar Rotational Velocity Reference
205,st_rotp,Stellar Rotational Period [days]
206,st_rotperr1,Stellar Rotational Period [days] Upper Unc.
207,st_rotperr2,Stellar Rotational Period [days] Lower Unc.
208,st_rotplim,Stellar Rotational Period Limit Flag
209,st_rotp_reflink,Stellar Rotational Period Reference
210,st_radv,Systemic Radial Velocity [km/s]
211,st_radverr1,Systemic Radial Velocity Upper Unc. [km/s]
212,st_radverr2,Systemic Radial Velocity Lower Unc. [km/s]
213,st_radvlim,Systemic Radial Velocity Limit Flag
214,st_radv_reflink,Systemic Radial Velocity Reference
215,rastr,RA [sexagesimal]
216,ra,RA [deg]
217,decstr,Dec [sexagesimal]
218,dec,Dec [deg]
219,glat,Galactic Latitude [deg]
220,glon,Galactic Longitude [deg]
221,elat,Ecliptic Latitude [deg]
222,elon,Ecliptic Longitude [deg]
223,ra_reflink,Position Reference
224,sy_pm,Total Proper Motion [mas/yr]
225,sy_pmerr1,Total Proper Motion Upper Unc [mas/yr]
226,sy_pmerr2,Total Proper Motion Lower Unc [mas/yr]
227,sy_pmra,Proper Motion (RA) [mas/yr]
228,sy_pmraerr1,Proper Motion (RA) [mas/yr] Upper Unc
229,sy_pmraerr2,Proper Motion (RA) [mas/yr] Lower Unc
230,sy_pmdec,Proper Motion (Dec) [mas/yr]
231,sy_pmdecerr1,Proper Motion (Dec) [mas/yr] Upper Unc
232,sy_pmdecerr2,Proper Motion (Dec) [mas/yr] Lower Unc
233,sy_pm_reflink,Proper Motion Reference
234,sy_dist,Distance [pc]
235,sy_disterr1,Distance [pc] Upper Unc
236,sy_disterr2,Distance [pc] Lower Unc
237,sy_dist_reflink,Distance Reference
238,sy_plx,Parallax [mas]
239,sy_plxerr1,Parallax [mas] Upper Unc
240,sy_plxerr2,Parallax [mas] Lower Unc
241,sy_plx_reflink,Parallax Reference
242,sy_bmag,B (Johnson) Magnitude
243,sy_bmagerr1,B (Johnson) Magnitude Upper Unc
244,sy_bmagerr2,B (Johnson) Magnitude Lower Unc
245,sy_bmag_reflink,B (Johnson) Magnitude Reference
246,sy_vmag,V (Johnson) Magnitude
247,sy_vmagerr1,V (Johnson) Magnitude Upper Unc
248,sy_vmagerr2,V (Johnson) Magnitude Lower Unc
249,sy_vmag_reflink,V (Johnson) Magnitude Reference
250,sy_jmag,J (2MASS) Magnitude
251,sy_jmagerr1,J (2MASS) Magnitude Upper Unc
252,sy_jmagerr2,J (2MASS) Magnitude Lower Unc
253,sy_jmag_reflink,J (2MASS) Magnitude Reference
254,sy_hmag,H (2MASS) Magnitude
255,sy_hmagerr1,H (2MASS) Magnitude Upper Unc
256,sy_hmagerr2,H (2MASS) Magnitude Lower Unc
257,sy_hmag_reflink,H (2MASS) Magnitude Reference
258,sy_kmag,Ks (2MASS) Magnitude
259,sy_kmagerr1,Ks (2MASS) Magnitude Upper Unc
260,sy_kmagerr2,Ks (2MASS) Magnitude Lower Unc
261,sy_kmag_reflink,Ks (2MASS) Magnitude Reference
262,sy_umag,u (Sloan) Magnitude
263,sy_umagerr1,u (Sloan) Magnitude Upper Unc
264,sy_umagerr2,u (Sloan) Magnitude Lower Unc
265,sy_umag_reflink,u (Sloan) Magnitude Reference
266,sy_gmag,g (Sloan) Magnitude
267,sy_gmagerr1,g (Sloan) Magnitude Upper Unc
268,sy_gmagerr2,g (Sloan) Magnitude Lower Unc
269,sy_gmag_reflink,g (Sloan) Magnitude Reference
270,sy_rmag,r (Sloan) Magnitude
271,sy_rmagerr1,r (Sloan) Magnitude Upper Unc
272,sy_rmagerr2,r (Sloan) Magnitude Lower Unc
273,sy_rmag_reflink,r (Sloan) Magnitude Reference
274,sy_imag,i (Sloan) Magnitude
275,sy_imagerr1,i (Sloan) Magnitude Upper Unc
276,sy_imagerr2,i (Sloan) Magnitude Lower Unc
277,sy_imag_reflink,i (Sloan) Magnitude Reference
278,sy_zmag,z (Sloan) Magnitude
279,sy_zmagerr1,z (Sloan) Magnitude Upper Unc
280,sy_zmagerr2,z (Sloan) Magnitude Lower Unc
281,sy_zmag_reflink,z (Sloan) Magnitude Reference
